lambda_mic,gal1_dust,egal1_dust,gal2_dust,egal2_dust,gal3_dust,egal3_dust,gal4_dust,egal4_dust,gal5_dust,egal5_dust,gal6_dust,egal6_dust,gal7_dust,egal7_dust,gal_PAH,egal_PAH,AGN_A,AGN_B,AGN_Siem,eAGN_A_up,eAGN_A_down,eAGN_B_up,eAGN_B_down,eAGN_Siem_up,eAGN_Siem_down
510.50499997541016,0.016817288223377854,0.001530331546535252,0.010903529653026198,0.001050096673651974,0.00805991951262964,0.000691364533287706,0.005243802114661063,0.0006130087962348291,0.00357240632385915,0.00037427348931678506,0.002663679349515693,8.351558449808978e-05,0.0013930108232315071,0.00031637090777874254,1.0214674371022487e-05,2.027282808446856e-06,8.612458472748256e-06,1.722276534703549e-05,8.319043476291745e-05,9.302740103973295e-06,4.356233893172112e-06,1.5534620555250243e-05,8.907175719967109e-06,0.00024978912260417057,0.0003998341470615992
511.6818355403115,0.016668260106467988,0.0015176860609154687,0.01080431392455538,0.0010410806010363936,0.007985416473723896,0.0006852518415733528,0.005194401282727847,0.0006074660962532148,0.003538250500470297,0.00037082140913763904,0.002637958499713668,8.273316237489612e-05,0.0013793226241270485,0.00031334452853474837,1.0099773912492848e-05,2.0050874789683875e-06,8.523680078978095e-06,1.7045230741389066e-05,8.299905242427096e-05,9.206846211833428e-06,4.311329236450177e-06,1.5374487568329967e-05,8.815359343237708e-06,0.00024921463550934186,0.0003989145376782609
512.861383991369,0.016518888444268274,0.0015050114244407153,0.01070486948020932,0.0010320437442269026,0.00791074168757591,0.0006791250586492978,0.005144886570115754,0.0006019106190285456,0.0035040159397767712,0.0003673613710918145,0.002612178357229272,8.194893658243068e-05,0.0013656028704647904,0.00031031117276608157,9.984608581050986e-06,1.9828409839712444e-06,8.435816824960135e-06,1.6869526186509912e-05,8.280811093398644e-05,9.111940806459618e-06,4.2668874631545154e-06,1.5216005254134585e-05,8.724489422129197e-06,0.0002486414695342744,0.0003979970435623281
514.0436515824301,0.016378831956878732,0.0014930671741468064,0.010611799670550894,0.0010235505475218202,0.007840931470047814,0.0006733787941009738,0.00509866006445486,0.0005967084989163872,0.003472088721724055,0.00036412602255766205,0.0025881529194854234,8.12164616305954e-05,0.0013528331641066045,0.000307482275208874,9.878247378747467e-06,1.962256716019109e-06,8.348859277309768e-06,1.6695632817989025e-05,8.261760926879465e-05,9.018013698410315e-06,4.222903801817167e-06,1.505915659730246e-05,8.634556200450838e-06,0.00024806962164272646,0.0003970816598457412
515.2286445817604,0.016245015850685197,0.0014816115096308105,0.010523002378636523,0.0010154213214263114,0.007774382563719505,0.0006678874262461207,0.005054638753950314,0.0005917431800639702,0.003441709271232527,0.0003610413026508866,0.002565304727573724,8.051868908146007e-05,0.001340701028417058,0.0003047905285824061,9.777803420689225e-06,1.942789256983604e-06,8.262798099882853e-06,1.6523531965873967e-05,8.242754640790769e-05,8.925054803277547e-06,4.1793735301551015e-06,1.4903924757868391e-05,8.545550022579845e-06,0.00024749908880540746,0.0003961683816716778
516.4163692720748,0.016110891266508214,0.0014701294370807634,0.010434000387823612,0.0010072733555292622,0.00770768024631828,0.0006623833994809883,0.005010515963844549,0.0005867664149694652,0.003411259788874938,0.0003579494717303219,0.0025424038651400164,7.981930800047471e-05,0.0013285409252663525,0.0003020925768391187,9.677127915394162e-06,1.9232769208202455e-06,8.177624052773514e-06,1.6353205152664646e-05,8.223792133301195e-05,8.83305414060451e-06,4.136291974563304e-06,1.4750293069455994e-05,8.457461332424826e-06,0.0002469298679999639,0.0003952572041945276
517.6068319505713,0.015976457493232614,0.0014586208956198624,0.01034479322623248,0.0009991066066309712,0.007640824164195103,0.0006568666846237763,0.004966291460202935,0.0005817781772465602,0.0033807401132111693,0.0003548505134033891,0.002519450210766212,7.911831467959054e-05,0.001316352790182834,0.00029938840567474053,9.576220329090792e-06,1.9037196040765786e-06,8.0933279913221e-06,1.6184634091329543e-05,8.204873302826074e-05,8.742001832813908e-06,4.093654509612989e-06,1.4598245037488287e-05,8.370280672399862e-06,0.00024636195621096377,0.00039434812257986703
518.8000389289651,0.015841713818103845,0.001447085824230959,0.01025538042089558,0.0009909210314321426,0.007573813962885645,0.0006513372524254074,0.004921965008551528,0.0005767784404481125,0.00335015008242892,0.0003517444112397178,0.0024964436427543078,7.841570540221039e-05,0.0013041365585462169,0.0002966780007520238,9.475080126777078e-06,1.8841172030616425e-06,8.009900865133282e-06,1.601780068334215e-05,8.185998048026657e-05,8.651888104147419e-06,4.0514565575549505e-06,1.44477643374166e-05,8.283998682408999e-06,0.0002457953504298804,0.00039344113200443035
519.9959965335199,0.015706659526724464,0.001435524161756263,0.010165761497755204,0.0009827165865336797,0.007506649287108547,0.0006457950735693879,0.004877536373875936,0.0005717671780660192,0.00331948953434292,0.0003486311487710661,0.002473384039125789,7.771147644317041e-05,0.001291892165587267,0.00029396134770067384,9.373706772217823e-06,1.8644696138454758e-06,7.927333717104542e-06,1.585268701673817e-05,8.167166267809434e-05,8.562703279616357e-06,4.009693587828153e-06,1.429883481296814e-05,8.198606098841465e-06,0.00024523004765507773,0.0003925362276560866
521.1947111050843,0.015571293903050013,0.0014239358468969867,0.010075935981660705,0.0009744932284364293,0.007439329780763361,0.0006402401186716353,0.004833005320619936,0.0005667443635310647,0.003288758306393984,0.00034551070949122536,0.002450271277620925,7.700562406871852e-05,0.001279619546387428,0.0002912384321172654,9.272099727941558e-06,1.8447767322585102e-06,7.84561768246429e-06,1.5689275364191998e-05,8.148377861325347e-05,8.474437783962687e-06,3.968361116573214e-06,1.4151440474411147e-05,8.114093753576878e-06,0.0002446660448917942,0.0003916334047338113
522.396188999124,0.015435616229385375,0.0014123208182130337,0.009985903396366102,0.000966250913540961,0.0073718550869287325,0.0006346723582803289,0.004788371612684307,0.0005617099702127839,0.0032579562356481856,0.0003423830768559357,0.0024271052356981465,7.629814453649537e-05,0.0012673186358784887,0.0002885092395651701,9.170258455237804e-06,1.825038453891039e-06,7.764743987820179e-06,1.552754818111363e-05,8.129632727969086e-05,8.387082140631085e-06,3.927454706151024e-06,1.4005565496838171e-05,8.030452573001042e-06,0.0002441033391521275,0.0003907326584476602
523.6004365857543,0.015299625786381138,0.001400679014122687,0.00989566326452766,0.0009579895981473493,0.007304224847860611,0.000629091762875762,0.004743635013425607,0.0005566639714193288,0.003227083158796039,0.00033924823428280247,0.002403885790533421,7.55890340955155e-05,0.0012549893688422564,0.0002857737555744829,9.068182414154347e-06,1.8052546740926902e-06,7.68470395021729e-06,1.536748810376519e-05,8.110930767378386e-05,8.300626970751617e-06,3.886969964666379e-06,1.3861194218467387e-05,7.947673577031828e-06,0.0002435419274550197,0.00038983398401874525
524.8074602497766,0.01516332185302946,0.0013890103729022562,0.009805215107701151,0.0009497092384549183,0.007236438704990172,0.0006234983028701714,0.0046987952856548144,0.0005516063403973137,0.003196138912151551,0.0003361061651512017,0.002380612819019556,7.487828898614564e-05,0.0012426316799101801,0.0002830319656419388,8.965871063494148e-06,1.7854252879718257e-06,7.605488976205669e-06,1.5209077947396348e-05,8.09227187943328e-05,8.21506299213263e-06,3.846902545496316e-06,1.3718311138960528e-05,7.865747878154895e-06,0.00024298180682624126,0.0003889373766792065
526.01726639071,0.015026703706660456,0.0013773148326857664,0.009714558446339457,0.0009414097905620264,0.007168496298922036,0.0006178919486075887,0.004653852191636169,0.0005465370503316831,0.0031651233316514074,0.00033295685280219537,0.002357286197765571,7.4165905440086e-05,0.0012302455035630225,0.00028028385523084094,8.863323860812606e-06,1.7655501903950162e-06,7.52709056091784e-06,1.5052300704399472e-05,8.073655964255397e-05,8.13038101826426e-06,3.807248146823529e-06,1.357690091775916e-05,7.784666680469543e-06,0.00024242297429837598,0.0003880428316721873
527.2298614228265,0.014900926178450862,0.0013664826355840511,0.009631281342519638,0.0009337476101928373,0.0071061679414794465,0.0006127288809964168,0.004612689883816154,0.0005418775047100756,0.0031367531831365896,0.00033006703692600964,0.0023359675753918344,7.351310276487972e-05,0.001218942883845933,0.00027777016795678687,8.77052179774113e-06,1.7475226631939446e-06,7.449500287155641e-06,1.4897139542483593e-05,8.055082922207243e-05,8.04657195733213e-06,3.768002511174475e-06,1.3436948372437336e-05,7.704421278744382e-06,0.00024186542691080512,0.00038715034425180816
528.4452517751846,0.014778831592633797,0.0013559425366077669,0.009550514814744195,0.0009263015339304276,0.007045751043612069,0.0006077163840951477,0.004572816056581235,0.000537357304047598,0.003109285230048392,0.0003272655607604664,0.002315334078862384,7.288059893900554e-05,0.0012080102706689534,0.0002753364285763029,8.68106058307306e-06,1.7301278806844357e-06,7.3727098244865e-06,1.474357780286721e-05,8.036552653891497e-05,7.963626811241227e-06,3.729161424962257e-06,1.3298438477071704e-05,7.625003057482665e-06,0.0002413091617096935,0.000386259909683141
529.6634438916618,0.014656455549728463,0.001345378140193983,0.009469562100893548,0.0009188382926894914,0.00698519487041121,0.0006026923321951598,0.004532850310681483,0.0005328266832464361,0.0030817539567888287,0.0003244576265253936,0.0022946530172110635,7.224663704122786e-05,0.001197052455215793,0.00027289707884712867,8.591393139006494e-06,1.7126929990599388e-06,7.296710928349182e-06,1.459159899848991e-05,8.018065060150342e-05,7.881536674649939e-06,3.690720718034313e-06,1.3161356360628391e-05,7.5464034899973835e-06,0.00024075417574797342,0.00038537152324218474
530.8844442309922,0.01453379740090919,0.001334789390331315,0.009388422771764415,0.0009113578469006614,0.006924499100814031,0.0005976566986594258,0.004492792434222468,0.0005282856182856863,0.003054159217389811,0.0003216432193334015,0.002273924280788932,7.161121371034342e-05,0.0011860693793891985,0.0002704521058360732,8.501518990133506e-06,1.6952179258824355e-06,7.221495439168375e-06,1.4441186812241848e-05,7.999620042064691e-05,7.800292734013704e-06,3.6526762632245672e-06,1.302568730536605e-05,7.4686141374956226e-06,0.00024020046608532874,0.00038448518021583705
532.1082592667984,0.014410856495854643,0.001324176230879262,0.009307096397164124,0.0009038601569033557,0.006863663413017583,0.0005926094567895166,0.004452642214821302,0.0005237340850890728,0.00302650086554677,0.0003188223242627826,0.002253147759694284,7.097432557740079e-05,0.001175060984957991,0.00026800149658013213,8.411437659950283e-06,1.6777025685008218e-06,7.147055281478798e-06,1.429232509521217e-05,7.981217500953555e-05,7.719886266638974e-06,3.6150239759103787e-06,1.2891416745255852e-05,7.391626648172666e-06,0.0002396480297881808,0.0003836008759018707
533.3348954876252,0.014287632182744484,0.0013135386055679176,0.0092255825459084,0.000896345182945575,0.006802687484477154,0.0005875505798254628,0.004412399439605553,0.0005191720595248237,0.0029987787546178987,0.0003159949263574344,0.002232323343772091,7.033596926568297e-05,0.0011640272135567688,0.00026554523808642124,8.321148670854646e-06,1.6601468340504313e-06,7.073382463058216e-06,1.4144997864955247e-05,7.96285733837332e-05,7.64030863974667e-06,3.5777598135740373e-06,1.2758530264417727e-05,7.315432756315363e-06,0.0002390968639296731,0.00038271860560890796
534.5643593969758,0.014164123808255625,0.0013028764579976473,0.009143880785818893,0.000888812885183673,0.0067415709919044255,0.0005824800409456003,0.004372063895212018,0.0005145995174055316,0.002970992737623317,0.00031316101062677334,0.0022114509226133657,6.969614139068817e-05,0.0011529680066855706,0.0002630833173321016,8.230651544143339e-06,1.6425506294525012e-06,7.00046907406927e-06,1.3999189303774534e-05,7.944539456117083e-05,7.561551309545328e-06,3.5408797753686807e-06,1.2627013595572508e-05,7.2400242814145545e-06,0.00023854696558965588,0.00038183836465639494
535.7966575133455,0.014040330717558962,0.0012921897316388064,0.009061990683720995,0.0008812632236821564,0.0066803136112658324,0.0005773978132664367,0.004331635367785657,0.0005100164344880337,0.002943142667244327,0.00031032056204566066,0.0021905303855546078,6.905483856011263e-05,0.0011418833057095814,0.00026061572126431445,8.1399458000096e-06,1.6249138614137069e-06,6.928307286210248e-06,1.3854883757024384e-05,7.926263756213933e-05,7.48360582031375e-06,3.5043799016887395e-06,1.2496852618510017e-05,7.165393127286842e-06,0.0002379983318546712,0.0003809601483745757
537.0317963702565,0.013916252254315834,0.0012814783698314345,0.008979911805441533,0.0008736961584134709,0.0066189150177808345,0.0005723038698425061,0.004291113642978436,0.0005054227864732798,0.002915228395822625,0.00030747356555432034,0.0021695616216772106,6.841205737383257e-05,0.0011307730518588198,0.0002581424368001108,8.049030957540593e-06,1.6072364364256564e-06,6.8568893518746475e-06,1.3712065731429314e-05,7.908030140928285e-05,7.406463803493231e-06,3.4682562737448626e-06,1.2368033358573244e-05,7.0915312812053446e-06,0.00023745095981793734,0.00038008395210446745
538.2697825162926,0.01379188776067453,0.0012707423157849525,0.008897643715806432,0.0008661116492577862,0.006557374885920174,0.0005671981836662256,0.004250498505948187,0.0005008185490062037,0.002887249775359511,0.00030462000605825895,0.0021485445198068664,6.776779442388581e-05,0.001119637186227821,0.00025566345082638154,7.957906534714834e-06,1.5895182607643957e-06,6.7862076033193095e-06,1.357071989342054e-05,7.889838512759208e-05,7.330116976789066e-06,3.4325050131431223e-06,1.2240541985157817e-05,7.01843081303939e-06,0.0002369048465793346,0.00037920977119783506
539.5106225151318,0.01366723657726701,0.0012599815125778815,0.008815185978638548,0.0008585096560027978,0.006495692889404261,0.0005620807276677603,0.004209789741357538,0.0004962036976756006,0.002859206657515153,0.00030175986842819125,0.0021274789685130145,6.712204629445498e-05,0.0011084756497753447,0.0002531787501997924,7.866572048399797e-06,1.5717592404899388e-06,6.716254451841316e-06,1.3430831067489939e-05,7.871688774439757e-05,7.254557143281453e-06,3.3971222814687043e-06,1.211436481022739e-05,6.946083874403242e-06,0.00023635998924539047,0.0003783376010171672
540.7543229455848,0.013554486334686346,0.0012501819744678785,0.008740790367107787,0.0008516118448083412,0.006440126708195096,0.0005574503472416027,0.004173185573916026,0.000492037160651333,0.002834027947874196,0.000299182604169834,0.0021085837862139865,6.654106070692924e-05,0.0010984816590493716,0.00025094787624193644,7.785493878403566e-06,1.555952862288171e-06,6.647022386963019e-06,1.3292384234560355e-05,7.853580828936275e-05,7.179776190545196e-06,3.3621042798736776e-06,1.1989488286843504e-05,6.8744826978132594e-06,0.0002358163849292634,0.00037746743693564905
542.0008904016282,0.013443331067387652,0.0012405099126701939,0.008667479129645972,0.0008448079663801182,0.006385384816870286,0.0005528852142686303,0.0041371359704412015,0.0004879308650879842,0.002809236957352624,0.00029664345157593585,0.002089982736866028,6.596881832839447e-05,0.001088646230057062,0.00024875136023635866,7.705821717622594e-06,1.540413442387366e-06,6.578503975625779e-06,1.3155364530373218e-05,7.835514579447727e-05,7.105766089778885e-06,3.3274472486691873e-06,1.1865899007711535e-05,6.803619595853998e-06,0.00023527403075072887,0.0003765992743371383
543.2503314924376,0.013331919560734273,0.0012308155544673654,0.008593998892328055,0.0008379884033922683,0.006330516732453162,0.0005483095575773004,0.004101003264047769,0.00048381510353574553,0.0027843888176957237,0.0002940984456307938,0.0020713388076708315,6.539525679493917e-05,0.0010787881280593312,0.0002465497807384473,7.6259658935428755e-06,1.5248382004241038e-06,6.510691861392037e-06,1.3019757243892942e-05,7.817489929405081e-05,7.032518894942971e-06,3.2931474669218496e-06,1.1743583703741214e-05,6.7334869603530324e-06,0.0002347329238361645,0.0003757331086161412
544.5026528424254,0.013220251224033423,0.0012210988484608663,0.008520349265569094,0.0008311531196881432,0.006275522164038575,0.0005437233529079336,0.004064787263163698,0.00047968985417325664,0.002759483397161119,0.0002915475728410384,0.002052651899780132,6.48203730655969e-05,0.0010689073007894986,0.00024434312607564564,7.54592598277674e-06,1.5092270538199943e-06,6.443578763655302e-06,1.2885547815727103e-05,7.799506782470592e-05,6.960026741906489e-06,3.259201252054161e-06,1.1622529242621809e-05,6.664077261563899e-06,0.0002341930613185347,0.0003748689351777861
545.757861091275,0.01310832546523073,0.0012113597431336902,0.008446529858886108,0.0008243020790277508,0.006220400820050803,0.0005391265759449303,0.004028487775775361,0.00047555509512885684,0.002734520563702754,0.00028899081968219623,0.002033921914117805,6.42441640923914e-05,0.001059003695860403,0.00024213138454849063,7.465701560960561e-06,1.4935799198062946e-06,6.377157476858576e-06,1.2752721836563417e-05,7.781565042537152e-05,6.888281847602795e-06,3.225604959449173e-06,1.1502722627412262e-05,6.595383047357742e-06,0.00023365444033737585,0.0003740067494377989
