lambda_mic,tau
3.260000000000002,0.6447765991271971
3.2700000000000022,0.6414282313094724
3.280000000000002,0.6381073989689489
3.290000000000002,0.6348137928142313
3.300000000000002,0.6315471079553846
3.3100000000000023,0.6283070438282441
3.320000000000002,0.6250933041202508
3.330000000000002,0.6219055966977768
3.340000000000002,0.6187436335349092
3.3500000000000023,0.6156071306436576
3.360000000000002,0.6124958080055501
3.370000000000002,0.6094093895045916
3.380000000000002,0.6063476028615467
3.3900000000000023,0.603310179569525
3.400000000000002,0.6002968548308304
3.410000000000002,0.5973073674950548
3.420000000000002,0.5943414599983794
3.4300000000000024,0.5913988783040669
3.440000000000002,0.5884793718441066
3.450000000000002,0.5855826934619963
3.460000000000002,0.5827085993566277
3.4700000000000024,0.5798568490272609
3.480000000000002,0.5770272052195516
3.490000000000002,0.5742194338726182
3.500000000000002,0.5714333040671196
3.5100000000000025,0.5686685879743266
3.5200000000000022,0.5659250608061593
3.530000000000002,0.5632025007661754
3.5400000000000023,0.5605006890014835
3.5500000000000025,0.5578194095555659
3.5600000000000023,0.5551584493219891
3.570000000000002,0.5525175979989814
3.5800000000000023,0.5498966480448617
3.5900000000000025,0.5472953946343017
3.6000000000000023,0.5447136356153984
3.610000000000002,0.5421511714675478
3.6200000000000023,0.5396078052600948
3.6300000000000026,0.5370833426117503
3.6400000000000023,0.5345775916507505
3.650000000000002,0.5320903629757535
3.6600000000000024,0.5296214696174474
3.6700000000000026,0.5271707270008626
3.6800000000000024,0.5247379529083692
3.690000000000002,0.522322967443347
3.7000000000000024,0.5199255929945141
3.7100000000000026,0.5175456542009004
3.7200000000000024,0.5151829779174507
3.730000000000002,0.5128373931812502
3.7400000000000024,0.51050873117835
3.7500000000000027,0.5081968252111922
3.7600000000000025,0.5059015106666107
3.7700000000000022,0.5036226249844048
3.7800000000000025,0.5013600076264693
3.7900000000000027,0.4991135000464713
3.8000000000000025,0.496882945660063
3.8100000000000023,0.4946681898156177
3.8200000000000025,0.4924690797654826
3.8300000000000027,0.49028546463773137
3.8400000000000025,0.4881171954084155
3.8500000000000023,0.48596412487429563
3.8600000000000025,0.4838261076260491
3.8700000000000028,0.4817030000219415
3.8800000000000026,0.4795946601619558
3.8900000000000023,0.47750094786236535
3.9000000000000026,0.4754217246307477
3.910000000000003,0.4733568536414258
3.9200000000000026,0.4713061997113321
3.9300000000000024,0.46926962927628324
3.9400000000000026,0.4672470103676618
3.950000000000003,0.4652382125894932
3.9600000000000026,0.4632431070959129
3.9700000000000024,0.46126156656901585
3.9800000000000026,0.4592934651970777
3.990000000000003,0.4573386786531477
4.000000000000003,0.4553970840739973
4.0100000000000025,0.4534685600394253
