ID,aorkey,CTP_NAME,RA_hms,Dec_dms,z,F70_mJy,eF70_mJy,F70_flag,F100_mJy,eF100_mJy,F100_flag,F160_mJy,eF160_mJy,F160_flag,F250_mJy,eF250_mJy,F250_flag,F350_mJy,eF350_mJy,F350_flag,F500_mJy,eF500_mJy,F500_flag,EQW6p2,w1_w2,Notes
39,16158976,WISEAJ143218.13+341259.6,14:32:18.142,+34:13:00.331,0.97777,0.0,0.0,N/A,71.66,8.8,P.S,145.41,16.76,Ext.,96.7,6.5,P.S,53.7,14.5,P.S,0.0,0.0,N/A,1.074,0.246,SF
40,17470464,WISEA J161516.73+553046.6,16:15:16.758,+55:30:46.774,0.08328,0.0,0.0,N/A,423.44,13.04,P.S,379.0,34.67,P.S,168.9,8.5,P.S,64.2,9.8,P.S,0.0,0.0,N/A,2.17,0.367,SF
41,17470720,WISEAJ161645.38+550230.9,16:16:45.256,+55:02:30.760,0.08328,0.0,0.0,N/A,615.08,13.75,P.S,662.86,35.63,P.S,353.7,10.9,P.S,160.4,12.5,P.S,63.4,8.7,P.S,2.2,0.29,SF
42,17470976,WISEAJ161402.61+533036.5,16:14:02.618,+53:30:36.749,0.06343,0.0,0.0,N/A,579.76,13.07,P.S,697.71,44.93,P.S,359.1,8.9,P.S,153.1,10.8,P.S,64.1,13.2,P.S,1.311,0.22,SF
43,17538560,WISEAJ143631.97+335230.7,14:36:32.000,+33:52:30.549,0.0866,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,169.4,10.8,P.S,68.9,11.3,P.S,32.8,8.2,P.S,1.095,,SF
44,17538816,WISEAJ143126.75+344517.3,14:31:26.733,+34:45:17.331,0.08275,0.0,0.0,N/A,204.74,11.41,P.S,161.89,32.35,P.S,84.5,9.3,P.S,30.2,7.3,P.S,-1.58,3.08,Ext.,1.611,0.265,SF
45,17863936,WISEAJ000024.24-525031.0,00:00:24.228,-52:50:30.949,0.12495,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,888.0,17.7,P.S,395.0,15.1,P.S,145.2,16.4,P.S,0.898,0.333,AGN?
46,18600448,WISEAJ083202.58+524714.2,08:32:02.435,+52:47:13.841,0.05865,0.0,0.0,N/A,0.0,0.0,N/A,0.0,0.0,N/A,169.8,7.0,P.S,95.9,9.1,P.S,48.1,7.3,P.S,1.098,0.12,SF
47,20310016,NGC5936,15:30:00.839,+12:59:22.011,0.01336,10442.88,317.26,Ext.,16275.94,498.82,Ext.,14909.87,460.49,Ext.,6072.41,184.19,Ext.,2381.11,74.15,Ext.,744.0,42.7,P.S,1.885,0.336,AGN?
48,20311296,ESO593-IG008,19:14:31.172,-21:19:06.107,0.04864,6848.52,209.49,Ext.,9279.32,281.44,Ext.,7924.85,139.66,P.S,3255.2,40.5,P.S,1151.38,39.82,Ext.,359.98,16.24,Ext.,1.665,0.505,AGN?
