ID,BAT_NAME,CTP_NAME,RA_hms,Dec_dms,z,logLx,Type,logNH,F70_mJy,eF70_mJy,F70_flag,F100_mJy,eF100_mJy,F100_flag,F160_mJy,eF160_mJy,F160_flag,F250_mJy,eF250_mJy,F250_flag,F350_mJy,eF350_mJy,F350_flag,F500_mJy,eF500_mJy,F500_flag
73,SWIFT J1235.6-3954,NGC4507,12:35:36.624,-39:54:33.480,0.011,43.7,Sy1.9,23.95,3880.14,123.51,Ext.,0.0,0.0,N/A,5207.54,183.81,Ext.,2508.21,86.24,Ext.,1144.78,43.77,Ext.,403.11,28.3,Ext.
74,SWIFT J1304.3-1022,NGC4939,13:04:14.400,-10:20:22.560,0.01,42.8,Sy2,23.29,3387.58,446.11,Ext.,0.0,0.0,N/A,14409.16,522.54,Ext.,9134.39,283.99,Ext.,4467.41,146.34,Ext.,1669.03,75.98,Ext.
75,SWIFT J1304.3-0532,NGC4941,13:04:13.128,-05:33:05.760,0.004,41.8,Sy2,23.91,926.31,18.64,HPDP,4113.46,159.82,Ext.,7437.04,251.29,Ext.,4855.01,158.49,Ext.,2576.33,100.09,Ext.,990.9,57.87,Ext.
76,SWIFT J1338.2+0433,NGC5252,13:38:15.960,+04:32:33.360,0.023,44.0,Sy2,22.43,274.3,26.24,Ext.,0.0,0.0,N/A,533.17,77.0,Ext.,351.31,32.45,Ext.,244.34,52.62,Ext.,72.79,29.6,Ext.
77,SWIFT J0123.8-3504,NGC526A,01:23:54.384,-35:03:55.440,0.019,43.7,Sy2,22.01,224.1,14.24,HPDP,0.0,0.0,N/A,317.4,49.26,Ext.,195.99,22.73,Ext.,132.56,25.28,Ext.,0.0,0.0,N/A
78,SWIFT J1341.9+3537,NGC5273,13:42:08.328,+35:39:15.120,0.003,41.6,Sy1.5,20.59,730.04,16.39,HPDP,827.38,27.98,HPDP,682.52,44.99,Ext.,344.08,24.0,Ext.,173.06,19.62,Ext.,61.98,15.65,Ext.
79,SWIFT J1413.2-0312,NGC5506,14:13:14.856,-03:12:27.000,0.006,43.3,Sy1.9,22.44,8742.5,137.81,HPDP,8121.53,181.52,HPDP,6263.77,196.52,Ext.,2593.23,82.33,Ext.,1099.29,40.37,Ext.,359.91,25.39,Ext.
80,SWIFT J1417.9+2507,NGC5548,14:17:59.544,+25:08:12.480,0.017,43.7,Sy1.5,20.69,1088.84,24.15,HPDP,0.0,0.0,N/A,1367.32,81.47,Ext.,822.46,35.05,Ext.,330.61,22.57,Ext.,81.72,17.59,Ext.
81,SWIFT J1442.5-1715,NGC5728,14:42:23.928,-17:15:11.520,0.009,43.2,Sy1.9,24.14,9810.3,304.15,Ext.,14317.62,434.9,Ext.,13560.22,411.57,Ext.,6426.08,198.83,Ext.,2889.97,97.56,Ext.,989.59,45.73,Ext.
82,SWIFT J1515.0+4205,NGC5899,15:15:03.240,+42:02:59.640,0.008,42.5,Sy2,23.03,5415.5,215.32,Ext.,0.0,0.0,N/A,13660.1,429.34,Ext.,7844.55,240.32,Ext.,3624.73,115.49,Ext.,1280.56,49.12,Ext.
